,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
1838,568412555045179393,negative,1.0,Can't Tell,0.6381,United,,ybenami,,0,@united sure... You've been saying that for as long as I've been tweeting about your obsolete fleet.  Promises are free.,,2015-02-19 06:11:28-08:00,California,Madrid
5970,568490964173627393,negative,0.6885,Bad Flight,0.3505,US Airways,,EmmaTyrer,,0,@USAirways You will be hearing a lot more from me instead of your feedback when I get back home.,,2015-02-19 11:23:02-08:00,"Liverpool, UK",London
6581,570226757380530176,negative,0.6824,Bad Flight,0.3665,American,,ChellyChelly,,0,@AmericanAir ...2/2 doesn't help me.,,2015-02-24 06:20:27-08:00,"Pittsburgh, PA",Eastern Time (US & Canada)
6515,570267608773054464,negative,1.0,Cancelled Flight,0.6774,American,,susqhb,,0,@AmericanAir I understand. But why is this the only flight of the day not going out? Twice?! I'm now out of extra meds and diapers for baby.,,2015-02-24 09:02:47-08:00,Dallas via NYC via the OC,Central Time (US & Canada)
5614,569328854948573187,positive,0.6925,,0.0,US Airways,,zfelice,,0,"@USAirways Eyyyy! Cancelled Flightlations, Flight Booking Problemss, reFlight Booking Problemss, but y'all got me on the same flight out tonight (not tomorrow) &amp; the FC upgrade. Thx!",,2015-02-21 18:52:31-08:00,"This Ain't Chicago, Tennessee",Central Time (US & Canada)
6681,570142665246965760,positive,1.0,,,American,,adamczuk,,0,@AmericanAir lovely flight back from MIA to LHR - great crew - thanks :-)),,2015-02-24 00:46:18-08:00,"Wiltshire, UK",London
7038,569916606064828416,negative,1.0,Flight Attendant Complaints,1.0,American,,slippysam,,0,@AmericanAir back in UK now no thanks to your staff that wouldn't me or the other passengers stranded. Just laughed at us,"[52.51012533, -2.98099904]",2015-02-23 09:48:02-08:00,lydham shropshire uk,London
7412,569673981164277760,neutral,0.6963,,0.0,American,,ScottBerry18,,0,@AmericanAir Educate Bohol is a 501(c)(3) w/all volunteer staff. I can help the kids or buy a plane ticket--I can't do both. Can you help?,,2015-02-22 17:43:55-08:00,"Albuquerque, New Mexico",Arizona
351,570264153559949313,positive,0.6629999999999999,,0.0,United,,JoshuaIsWrong,,0,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat.",,2015-02-24 08:49:03-08:00,Austin · LA · London · NY · SF,Eastern Time (US & Canada)
4402,568828957002493953,positive,1.0,,,Delta,,BostonSwifty,,0,@JetBlue flight booked! Heading out to California with the @WikiPearl team for  @NatProdExpo on March 6-8! Can't wait! #ExpoWest,,2015-02-20 09:46:06-08:00,"Boston, MA",Eastern Time (US & Canada)
7367,569683804857745409,positive,1.0,,,American,,darrenrough,,0,@AmericanAir hats off to Admiral Lounge attendant @ YYZ Terminal 3 who gave her banana to our toddler when none avail elsewhere.,,2015-02-22 18:22:57-08:00,Cambridge MA,Eastern Time (US & Canada)
7635,569615410720432128,negative,1.0,Cancelled Flight,1.0,American,,mattlurrie,,0,"@americanair hi, you Cancelled Flightled our flight back to the US and now won't take our call. What are we supposed to do?",,2015-02-22 13:51:11-08:00,New York City,Eastern Time (US & Canada)
4850,567812799767003136,negative,1.0,Lost Luggage,1.0,Delta,,edgarsantana,,0,@JetBlue pls send an IT tech 2 baggage office. Poor guy is trying 2 print my claim &amp; can't. I need 2 get home. Upgrade 2 @HP printers MFPs,,2015-02-17 14:28:15-08:00,"ÜT: 40.96513,-73.872957",Eastern Time (US & Canada)
1013,569520712379052032,neutral,1.0,,,United,,worldknits,,0,@united DM'ed you,,2015-02-22 07:34:53-08:00,"Fredericksburg, VA",Eastern Time (US & Canada)
857,569654749055864832,negative,1.0,Customer Service Issue,0.6756,United,,onemanvariety,,0,@united I don't know my flight details bc I need to explore some options which I'm unable to do bc the site won't let me.Seems to be ongoing,,2015-02-22 16:27:30-08:00,"driving, probably",Quito
4980,570242452092813312,negative,1.0,Cancelled Flight,1.0,US Airways,,OneT_Mat,,0,@USAirways hey!!  Yeah last time I got a phone call when flight was Cancelled Flightled from DCA to BOS,,2015-02-24 07:22:49-08:00,"Boston, MA",Atlantic Time (Canada)
7104,569878990841901056,negative,1.0,Customer Service Issue,1.0,American,,blogblogblog,,0,@AmericanAir on hold again....estimated 2 hr hold,,2015-02-23 07:18:33-08:00,"Brevard, NC",Central Time (US & Canada)
514,570007003659149312,neutral,0.6612,,0.0,United,,JawnRedcorn,,0,@united I would love if someone could get me back to Austin tonight and I do not wish to wait til tomorrow morning.,,2015-02-23 15:47:14-08:00,Ausvegas,Central Time (US & Canada)
5602,569342508553121795,negative,1.0,Customer Service Issue,1.0,US Airways,,realmattberry,,0,@USAirways on hold 3 hours !!!!!! What's the number to speak to someone this is unacceptable I need to change flights,,2015-02-21 19:46:46-08:00,NYC,Eastern Time (US & Canada)
2340,570305078470557697,negative,1.0,Customer Service Issue,1.0,Southwest,,Tim535353,,0,@SouthwestAir still no update text #2053 &amp; still no response to email fr1/5/2015 SR #256746438028. Feel like yr losing customer service/care,,2015-02-24 11:31:41-08:00,"St. Louis, MO",Central Time (US & Canada)
4735,568122440934658048,positive,1.0,,,Delta,,khealy8834,,0,@JetBlue thank you :-),,2015-02-18 10:58:39-08:00,"Miami, FL",Atlantic Time (Canada)
7195,569817130801221632,negative,1.0,Late Flight,1.0,American,,DanJWillis,,0,@AmericanAir just want to thank you guys for the 27 hour delay for flight AA106 from JFK due to staff shortage and not weather✈️,,2015-02-23 03:12:45-08:00,my top secret gaming facility,Casablanca
2299,567747764906635265,neutral,0.6452,,0.0,United,,MoonSetGallery,,0,@united Is there a direct number to call to request a refund?  Its telling me its not valid as I changed the ticket.  No number on site,,2015-02-17 10:09:50-08:00,Southern New Jersey,Eastern Time (US & Canada)
2843,569205327465476096,negative,1.0,Flight Attendant Complaints,0.6421,Southwest,,Tweeter_mom_,,0,"@SouthwestAir because according to the flight attendant my husband doesn't talk english, when the fact is that he understand and talks it",,2015-02-21 10:41:40-08:00,Florida,Eastern Time (US & Canada)
4779,568045397408661504,neutral,1.0,,,Delta,,MerrickRealtor,,0,@JetBlue Lekvhg want to see what the cost would be to change to the 430 flight,,2015-02-18 05:52:31-08:00,Merrick,America/New_York
2971,568892942770786304,neutral,1.0,,,Southwest,,royvergara,,0,@SouthwestAir any spare tickets for Vegas? Would be forever grateful! #DestinationDragons,,2015-02-20 14:00:21-08:00,"Las Vegas, NV",Pacific Time (US & Canada)
4609,568393752596717568,neutral,0.6698,,0.0,Delta,,KatLaur12,,0,@JetBlue how can we get help with a hotel we booked with you and are having issues with.,"[33.81391813, -117.92216895]",2015-02-19 04:56:45-08:00,Boston,Pacific Time (US & Canada)
3874,569930522677399553,neutral,0.6532,,,Delta,,A_Geechi,,0,RT @JetBlue: Our fleet's on fleek. http://t.co/826Pkiq5HI,,2015-02-23 10:43:20-08:00,Binghamton University ,Eastern Time (US & Canada)
3012,568858194447085568,negative,1.0,Customer Service Issue,0.6564,Southwest,,LRC110979,,0,@SouthwestAir yes but not with out an attitude and nasty comment,"[41.93001697, -72.68496357]",2015-02-20 11:42:17-08:00,"Rochester Hills, MI",Eastern Time (US & Canada)
6456,570297070998974464,positive,0.6497,,0.0,American,,rakugojon,,0,@AmericanAir got back eventually! Was a rollercoaster. Once I got to the airport &amp; got to speak to someone things got fixed very quick.,,2015-02-24 10:59:51-08:00,San Francisco,London
7203,569798946740166656,negative,1.0,Lost Luggage,1.0,American,,julieb2306,,0,"@AmericanAir @British_Airways 2 weeks ago today i arrived in miami and I still don't have my bag, absolute disgrace!",,2015-02-23 02:00:29-08:00,Glasgow / Scotland,Casablanca
5419,569564566272811008,negative,1.0,Customer Service Issue,0.6774,US Airways,,CDarnall1,,0,@USAirways your mobile app is horrible!  Needs a major overhaul,,2015-02-22 10:29:09-08:00,"Lexington, KY",Eastern Time (US & Canada)
5340,569629631814508544,negative,1.0,Flight Booking Problems,0.6667,US Airways,,beoliu,,0,@USAirways hello! I never received a confirmation code for my flights (though they are confirmed--so says the automated reply). Any ideas?,,2015-02-22 14:47:42-08:00,"Tuscaloosa, Alabama",Central Time (US & Canada)
3540,567779798782595072,neutral,1.0,,,Southwest,,bendayhoe,,0,@SouthwestAir Hi there! I just got my known traveler# and would like to add it to a flight that I already purchased. What's my best option?,,2015-02-17 12:17:07-08:00,"Santa Ana, California",Pacific Time (US & Canada)
5511,569504928810414080,negative,1.0,Can't Tell,1.0,US Airways,,Katycarlson,,0,@USAirways waiting for you to figure it out. This is unacceptable.,,2015-02-22 06:32:10-08:00,America ,Central Time (US & Canada)
2874,569158261301227520,negative,1.0,Lost Luggage,0.6477,Southwest,,pmiwanowicz,,0,@SouthwestAir too long to wait for bags when they could have been on the next flight out. The party of 4 could have waited in Albany,,2015-02-21 07:34:38-08:00,"Albany, NY",Quito
5541,569469169927720960,negative,1.0,Customer Service Issue,1.0,US Airways,,dailylaurel,,0,@USAirways once again your company actualy put people in weird situations.Your hostel voucher was fake.Snow is ok but no lies please,,2015-02-22 04:10:04-08:00,Bruxelle-Paris-Marseille-(BPM),Athens
1803,568460037737324545,neutral,1.0,,,United,,JerseyRic,,0,"@united need assistance to change flight to get to an ailing parent..
have flight leaving Tuesday need to change ASAP to sooner #custserv",,2015-02-19 09:20:09-08:00,North Jersey,Eastern Time (US & Canada)
2187,567845492849287169,negative,1.0,Lost Luggage,1.0,United,,thodge77,,1,@united now finally in memphis. Landed 30 minutes ago. Still no bags. Paying for a service that just gets worse...,,2015-02-17 16:38:10-08:00,Memphis,Central Time (US & Canada)
3816,569949217843605504,negative,0.6582,Can't Tell,0.6582,Delta,,swingkennedy,,0,"Brands: Stop this shit. No, stop. RT @JetBlue Our fleet's on fleek. http://t.co/sKEbqKtxvX",,2015-02-23 11:57:37-08:00,Kansas City/Milwaukee,Eastern Time (US & Canada)
7548,569642757767081984,positive,1.0,,,American,,DanielLassman,,0,@AmericanAir Thank you. Good suggestion. I checked and we were not rebooked. We'll keep checking and looking for other flights,,2015-02-22 15:39:51-08:00,"Ocean Ridge, FL",Eastern Time (US & Canada)
7665,569607918569410560,negative,1.0,Customer Service Issue,1.0,American,,sweetmel,,0,@AmericanAir @TheNateK I submitted a complaint via that link in Dec. &amp; followed up in Jan. NEVER HEARD BACK! #badcustomerservice,,2015-02-22 13:21:25-08:00,"Dallas, TX",Central Time (US & Canada)
7201,569806030584057856,positive,1.0,,,American,,trappermartin,,0,@AmericanAir @USAirways wonderful FC FA on flight 2062 pre dawn!  Nice start to the day!,,2015-02-23 02:28:38-08:00,"Rockville, MD",Quito
2878,569152201278525440,negative,1.0,Customer Service Issue,1.0,Southwest,,amyvenezia,,0,@SouthwestAir been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? Can a human answer? #BNA,,2015-02-21 07:10:33-08:00,The Universe,Pacific Time (US & Canada)
2894,569078309033803776,negative,0.6629999999999999,Flight Booking Problems,0.3587,Southwest,,KyleFogg82,,0,"@SouthwestAir app error - says click here, can't click not hyperlinked http://t.co/IH5w9nfKz2",,2015-02-21 02:16:56-08:00,"Indianapolis, IN",Atlantic Time (Canada)
6936,569969374875881472,negative,1.0,Customer Service Issue,1.0,American,,iAMalexmetz,,0,@AmericanAir now 2 hrs! Guess I should just hang up &amp; give up on using my award miles before prices jump? Hm thanks http://t.co/LE4H2gTzXZ,,2015-02-23 13:17:43-08:00,"Los Angeles, CA",Atlantic Time (Canada)
6445,570301488192458752,negative,1.0,Customer Service Issue,1.0,American,,skgiffard,,0,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.,,2015-02-24 11:17:25-08:00,"Boston, MA",Eastern Time (US & Canada)
641,569913595762311168,negative,1.0,longlines,0.6742,United,,brianaverna,,0,@united gate C 24 IAD. U released passengers to board w/others deplaning .50 peopleOn bridge while next flight  board http://t.co/HfoF33iyhi,,2015-02-23 09:36:04-08:00,"CT, NY and most other states",Eastern Time (US & Canada)
4688,568177152924860416,neutral,1.0,,,Delta,,JetBlueNews,,0,@JetBlue to allow payment by #Apple Pay - Patriarc http://t.co/bdUaUZFhW2,,2015-02-18 14:36:04-08:00,USA,Sydney
5471,569531768321269760,negative,1.0,Customer Service Issue,1.0,US Airways,,storylaura,,0,@USAirways 2 hours?! And just got disconnected.,,2015-02-22 08:18:49-08:00,"kansas city, mo",Eastern Time (US & Canada)
6529,570262112477401088,negative,1.0,Cancelled Flight,1.0,American,,lpalumbo,,0,"@AmericanAir why did flight 1636 get Cancelled Flightled? Waiting for a rep to rebook, but wondering if there will be other issues getting out.",,2015-02-24 08:40:57-08:00,Boston,Eastern Time (US & Canada)
6509,570270651996463104,neutral,0.6771,,,American,,krisdelcampo,,0,@AmericanAir Flight 35. I'm on my way.,,2015-02-24 09:14:53-08:00,"Las Vegas, NV",Eastern Time (US & Canada)
7141,569858278370516992,negative,1.0,Customer Service Issue,0.6509,American,,Jhosa_M,,0,@AmericanAir But when becomes about get money from the passengers are very strict but don't have ANY feedback as a reward,,2015-02-23 05:56:15-08:00,Ando por el mundo,Caracas
2182,567850537716092928,positive,0.6857,,0.0,United,,jtor0713,,0,@united - I think she was having a rough moment w/ a bad passenger from an earlier flight. Things got considerably better. Thanks!,,2015-02-17 16:58:13-08:00,New York ,Atlantic Time (Canada)
3288,568210342880227328,negative,1.0,Customer Service Issue,0.6791,Southwest,,cosmicghoul,,0,@SouthwestAir your app isnt working and i take off in like two hours help,,2015-02-18 16:47:57-08:00,they/them,Pacific Time (US & Canada)
7074,569895210777501696,negative,1.0,Cancelled Flight,0.6703,American,,crazydavy12,,0,"@AmericanAir has the worst flights and customer service, this is the second time I've been Cancelled Flighted. Gotta pay for hotel and find rides now.",,2015-02-23 08:23:01-08:00,"College Station, Tx",Eastern Time (US & Canada)
1961,568199122903293952,positive,0.6737,,0.0,United,,promostuff4u,,0,@united thank you for getting our daughter home when @americanair Cancelled Flightled all their flights to Nashville,,2015-02-18 16:03:22-08:00,"Franklin, Tennessee",Central Time (US & Canada)
7406,569674883099205632,negative,1.0,longlines,0.6959,American,,agoldenbrown,,1,@AmericanAir how have you not loaded our luggage on the plane and were OVER an hour delayed? #Flight293,,2015-02-22 17:47:30-08:00,NYCATL,Eastern Time (US & Canada)
1095,569367983065137152,negative,0.67,Can't Tell,0.67,United,,WM_j_MW,,0,"@united Freakin""",,2015-02-21 21:28:00-08:00,"Wake Forest, NC",Eastern Time (US & Canada)
7657,569609699152273409,negative,1.0,Cancelled Flight,1.0,American,,SraJackson,,0,"@AmericanAir my itinerary was from EWR TO DALLAS to LA. You Cancelled Flightled my flight, you have my money, find a way to get me there from EWR",,2015-02-22 13:28:29-08:00,New Jersey,Eastern Time (US & Canada)
1595,568806035294695424,positive,0.6842,,,United,,MrsHeyGil,,0,@united just sent - thank you!,,2015-02-20 08:15:01-08:00,"Obersulzbach, Germany",Quito
5929,568560130117251072,neutral,0.3451,,0.0,US Airways,,RuelBass,,0,@USAirways we got our bags today. Thanks!,,2015-02-19 15:57:53-08:00,"ÜT: 41.233943,-74.3966664",Eastern Time (US & Canada)
3981,569692158287962112,positive,1.0,,,Delta,,lisandramaioli,,0,@JetBlue THANK YOU! I am your new big fan :),,2015-02-22 18:56:09-08:00,"Los Angeles, California",Monterrey
4988,570232671353376769,negative,1.0,Flight Booking Problems,0.6697,US Airways,,TheVoiceofBrian,,1,"@USAirways OK we are on DAY 11 trying to  book a flight for 4.  Ur system STILL says ""due to weather….call back Late Flightr""  #outofbusiness ?",,2015-02-24 06:43:57-08:00,YouTube.com/VOiceofBrian,Central Time (US & Canada)
7576,569632024434057216,negative,0.6456,Flight Booking Problems,0.3477,American,,skyfullofbacon,,0,"@AmericanAir Orbitz has only shown ""priority"" seats since we booked &amp; paid 3 weeks ago.",,2015-02-22 14:57:12-08:00,Chicago,Central Time (US & Canada)
7533,569645350379757568,negative,1.0,Customer Service Issue,0.6641,American,,quadbaconHD,,0,"@AmericanAir 's computer systems are down, can't leave without a flight plan! Any ETA, American air?","[35.2176668, -80.9426912]",2015-02-22 15:50:09-08:00,"Jacksonville Beach, Florida ",Central Time (US & Canada)
2923,568958697856040961,negative,1.0,Cancelled Flight,0.6524,Southwest,,SebastianAC,,0,@SouthwestAir I'm in line at the airport right now. Will you cover hotel fair or am I to sleep in the airport?,,2015-02-20 18:21:38-08:00,"Philadelphia, PA",Quito
3916,569920656621465601,neutral,1.0,,,Delta,,BritishAirNews,,0,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/IMVMpnQXAI,,2015-02-23 10:04:07-08:00,UK,Sydney
4825,567853001534210049,negative,0.67,Customer Service Issue,0.34,Delta,,brian_cristiano,,0,@JetBlue ah yes. Put the bags on the floor instead of the overhead bin so no one trips. #safetyfirst #sarcasm,,2015-02-17 17:08:00-08:00,"New York, New York",Eastern Time (US & Canada)
4550,568499629043687426,neutral,1.0,,,Delta,,bmose14,,0,"@JetBlue as requested, here's selfie somewhere over the Rocky's. #milehighselfieclub http://t.co/A1ChOxKPJp",,2015-02-19 11:57:28-08:00,"Boston, MA",Eastern Time (US & Canada)
884,569638675170131968,negative,1.0,Customer Service Issue,0.3609,United,,cslhilo,,0,@united Pay for a cab back to the airport to show baggage dept. my wet shirts and suit is not a viable option. 2nd time this has happened!!,,2015-02-22 15:23:38-08:00,"Hilo, HI",Hawaii
5009,570156989541687296,negative,1.0,Can't Tell,1.0,US Airways,,yorkshire2002,,0,@usairways  Thank you for allowing me to spend more money on vacation by buying things I already bought.,,2015-02-24 01:43:13-08:00,Kentucky,Eastern Time (US & Canada)
2900,569022042349051905,neutral,0.6967,,0.0,Southwest,,Kayyyyy_Jo,,0,@SouthwestAir absolutely required? Are the flights going to be 100% Cancelled Flighted?,,2015-02-20 22:33:21-08:00,"Columbus, OH",Central Time (US & Canada)
1017,569516969969389568,negative,1.0,Bad Flight,0.3529,United,,NosihtamInc,,0,"@united your first class is a joke, compared to all the others I have flown, don't ask for extra peanuts... That's NOT allowed! @AirCanada",,2015-02-22 07:20:01-08:00,"Winnipeg, Manitoba",Central Time (US & Canada)
1002,569527524323151873,neutral,0.6543,,0.0,United,,patrick_maness,,0,@united Yes. To Boston. I was going to Providence.,,2015-02-22 08:01:57-08:00,Rhode Island,Eastern Time (US & Canada)
2604,569681392369590272,neutral,1.0,,,Southwest,,DontenPhoto,,0,@SouthwestAir Flight 3267 (N659SW) arrives at @FlyTPA following flight from @MitchellAirport http://t.co/LJ2YdKoR8q,,2015-02-22 18:13:22-08:00,"Englewood, Florida",Eastern Time (US & Canada)
5028,570076827135246336,negative,1.0,Can't Tell,0.3596,US Airways,,KyleHanagami,,0,@USAirways is the worst. I have to pay $200 just to NOT take my first flight in a round trip! Otherwise they'll Cancelled Flight my whole flight.,,2015-02-23 20:24:41-08:00,"Los Angeles, CA",Pacific Time (US & Canada)
2347,570299642887442433,positive,0.6809,,,Southwest,,tonybrancato,,0,@SouthwestAir thx. Make it right. Help Meagan Fouty Brancato fl#2771 dfw gate 4 preboard w/kids - b4 group A please. Please.,"[41.19747574, -73.76926201]",2015-02-24 11:10:05-08:00,Chappaqua NY,Eastern Time (US & Canada)
5180,569893554753040386,negative,1.0,Cancelled Flight,1.0,US Airways,,steve_muns,,0,@USAirways 2102 DCA-BOS. Cancelled Flightled after making us wait over an hour. If I fly USAir every week can you upgrade my status proactively?,,2015-02-23 08:16:26-08:00,"Washington, DC",Eastern Time (US & Canada)
4042,569623368711991296,negative,0.6766,Late Flight,0.6766,Delta,,Tom_Constantin,,0,@JetBlue why are there so many delays to north east cities?,,2015-02-22 14:22:48-08:00,3Ø4 ,Quito
7374,569682062787149824,neutral,0.6274,,0.0,American,,jameswester,,0,@AmericanAir And gold status too.,,2015-02-22 18:16:02-08:00,DFW,Central Time (US & Canada)
455,570076814585913344,negative,1.0,Cancelled Flight,0.708,United,,fortytoo,,0,@united flt 1249 Cancelled Flightled and I get email @3:30 AM? What happened to courtesy phn call? Had to book diff airline &amp; city,,2015-02-23 20:24:38-08:00,"WX report for 41 Mile, Hwy 50",Pacific Time (US & Canada)
4660,568203327965696002,neutral,1.0,,,Delta,,luxtrvlwrks,,0,@JetBlue client is asking if kids need their own email addresses to get TB acct. Is this true?,,2015-02-18 16:20:04-08:00,"Southborough, Massachusetts",Eastern Time (US & Canada)
5941,568531781835571200,neutral,0.6629999999999999,,,US Airways,,tee_phimu,,0,@USAirways would like to see you do similar in PHL! http://t.co/n9vGe2nPIB,,2015-02-19 14:05:14-08:00,"philadelphia, pa",Eastern Time (US & Canada)
7061,569903058299199488,negative,1.0,Customer Service Issue,1.0,American,,JaJillian,,0,@AmericanAir the flight I'm trying to change is in 4 hours and I've been trying to reach an agent for 72 now. THIS IS UNBELIEVABLE.,"[34.10909961, -118.32361693]",2015-02-23 08:54:12-08:00,"New York, NY",Eastern Time (US & Canada)
5382,569600757516914688,negative,0.6739,Late Flight,0.337,US Airways,,dline2005,,0,@USAirways thanks for being so bad you make a two day train trip look appealing!!,,2015-02-22 12:52:57-08:00,"Columbus, Ohio",Eastern Time (US & Canada)
4049,569617259548708864,negative,1.0,Bad Flight,1.0,Delta,,AdamJBerry,,0,"@JetBlue @amybruni No wifi on this flight so we can't tweet you our Oscar party pics at 37,000ft. #bluecarpet :-( SEA✈️BOS",,2015-02-22 13:58:32-08:00,Provincetown Ma,Eastern Time (US & Canada)
6696,570123386925539329,negative,1.0,Customer Service Issue,0.6343,American,,tennesseejc,,0,@AmericanAir I had a 6am flight I can get no rest because I have to wait another 2 hours to receive an automated phone call. #neveragain,,2015-02-23 23:29:42-08:00,"las vegas/nashville, TN",Central Time (US & Canada)
7407,569674725623926784,negative,1.0,longlines,0.6669,American,,reebokpumped,,0,"@americanair Plz bring more agents up to DFW AA Cstmr srvc ctr gates A, there are only 2 agents and 100+ ppl... http://t.co/uCvEU2hurZ",,2015-02-22 17:46:53-08:00,Milwaukee,Central Time (US & Canada)
7446,569664878434254848,negative,1.0,Customer Service Issue,1.0,American,,otisday,,1,@AmericanAir @sarahzou translation: we don't reinvest our mammoth profits into the customer service experience. 'Cause we don't care.,,2015-02-22 17:07:45-08:00,Pekin,Eastern Time (US & Canada)
5617,569324647906480128,negative,1.0,Customer Service Issue,0.3471,US Airways,,Grady_Kelly,,0,@USAirways Your app and website are trash AF.,,2015-02-21 18:35:48-08:00,Brooklyn ,Eastern Time (US & Canada)
2807,569233955951480832,neutral,0.6576,,0.0,Southwest,,tausdad,,0,"@SouthwestAir hi, can you please tell me why today's flights from Chicago to DIA were Cancelled Flightled? Thanks!",,2015-02-21 12:35:25-08:00,"Denver, CO, USA",Mountain Time (US & Canada)
1308,569164042679377921,neutral,1.0,,,United,,froschmarc,,1,@united #787 to begin Newark-London Heathrow route on May 6 @PANYNJ @BoeingAirplanes @FroschTravel http://t.co/RdJ1MwFLg1,,2015-02-21 07:57:36-08:00,"New York, NY",Hawaii
5276,569701230479413249,negative,1.0,Late Flight,0.3622,US Airways,,dline2005,,0,"@USAirways comedy of errors continues..."" We can't get into our gate, there is a broken down truck in the way"" #fail",,2015-02-22 19:32:12-08:00,"Columbus, Ohio",Eastern Time (US & Canada)
3427,568044275910512640,negative,1.0,Late Flight,1.0,Southwest,,JeanmeF,,0,@SouthwestAir Flight 4110 MCO to ISP delayed. Any details on why?,,2015-02-18 05:48:03-08:00,"Suffolk County, New York",Eastern Time (US & Canada)
2936,568947250325561344,negative,1.0,Cancelled Flight,1.0,Southwest,,amandabalbert,,0,@SouthwestAir my parents flight frm STL2ATL Cancelled Flighted 2nite. When's the next one out?!,,2015-02-20 17:36:09-08:00,Atlanta,Eastern Time (US & Canada)
4100,569554727572099072,negative,1.0,Can't Tell,1.0,Delta,,jbs2886,,0,"@JetBlue I know, but I wanted to pass it along. Not good for the ""T5 experience"" esp for someone who flies 2-3 times a month.",,2015-02-22 09:50:03-08:00,"New Orleans, LA",Eastern Time (US & Canada)
1563,568833209288372224,negative,1.0,Late Flight,1.0,United,,ssegraves,,0,@united Flight 395. Rolling delay of 1 hour 42 minutes,,2015-02-20 10:03:00-08:00,PDX / LGA / TXL / ✈,Central Time (US & Canada)
5106,569976848786034688,negative,1.0,Flight Booking Problems,0.6912,US Airways,,joshahamilton,,0,@USAirways I have to fly back to Charlotte out of a different airport. You guys are not very flexible like other airlines.,,2015-02-23 13:47:25-08:00,Cali native now in Charlotte,Quito
353,570260383862108160,negative,0.6752,Flight Booking Problems,0.3468,United,,mattbunk,,0,@united What is your phone number. I can't find who to call about a flight reservation.,,2015-02-24 08:34:05-08:00,"Sterling Heights, MI",Eastern Time (US & Canada)
1744,568549060103135232,positive,1.0,,,United,,annricord,,0,@united @annricord Great! Appreciate it😊,,2015-02-19 15:13:53-08:00,Canmore,Mountain Time (US & Canada)
3359,568093190185566208,neutral,1.0,,,Southwest,,saysorrychris,,0,“@SouthwestAir: @saysorrychris Can you follow back for a quick DM? ^SW”followed,,2015-02-18 09:02:25-08:00,Everywhere But Never Scared,Hawaii
3279,568225322543538176,neutral,0.6518,,,Southwest,,bsrubin,,0,"@SouthwestAir Looks like 'On February 19, 2015, we will open our schedule for sale through October 30, 2015' - know what time that will be?",,2015-02-18 17:47:28-08:00,"Boston, MA",Eastern Time (US & Canada)
7162,569846045892608001,negative,1.0,Customer Service Issue,0.6414,American,,stephenmartino,,0,"@AmericanAir If you care, could you have someone call me to explain what is going on.",,2015-02-23 05:07:39-08:00,"Baltimore, Maryland",Central Time (US & Canada)
3909,569923761232850944,neutral,1.0,,,Delta,,LeroyFunkdafied,,0,@JetBlue ...really?,,2015-02-23 10:16:28-08:00,"Bangor, Maine, USA",Eastern Time (US & Canada)
4578,568442077400436736,neutral,0.7246,,0.0,Delta,,TomFecteau,,0,"@JetBlue traveling w/ a rifle for a hunting trip, can a pistol be in the same large rifle case too? Wasn't clear in freq asked questions",,2015-02-19 08:08:47-08:00,New England ,Eastern Time (US & Canada)
658,569903366647586818,negative,1.0,Can't Tell,0.3596,United,,ganteisan,,1,@united already done that. the answer i got was... oops we can give you miles and we're very sorry. but who pays for my discomfort for 9 h?,,2015-02-23 08:55:25-08:00,"Santiago, Chile",Santiago
6484,570281731510571009,negative,1.0,Customer Service Issue,1.0,American,,robkoenigld,,0,@AmericanAir why am I continually getting put on hold by painfully inexperienced people when calling your Platinum desk?!,,2015-02-24 09:58:54-08:00,"indialantic, fl",Eastern Time (US & Canada)
7249,569733539899568128,positive,0.6162,,,American,,Travelingwellfl,,0,@AmericanAir Understood. Thanks anyway,,2015-02-22 21:40:35-08:00,"San Diego, CA",Pacific Time (US & Canada)
6757,570072153607049218,neutral,0.6678,,0.0,American,,aprilteybrown,,0,@AmericanAir any delays on tonight's flight from DFW to SAT? I have family members on board.,,2015-02-23 20:06:07-08:00,"Washington, D.C.",Eastern Time (US & Canada)
414,570144025451339776,negative,0.69,Lost Luggage,0.69,United,,michaelsalinger,,0,@united how we looking on getting those bags to Lusaka,,2015-02-24 00:51:43-08:00,"mentor, Ohio",Eastern Time (US & Canada)
5362,569618538924789760,negative,1.0,longlines,0.6624,US Airways,,LaceyDGarland,,0,@USAirways Everyone on Flight 669 from LAX to RDU enjoyed waiting an hour &amp; a half in baggage claim for their bags just now,"[35.87648539, -78.79266577]",2015-02-22 14:03:37-08:00,"Goldsboro, NC",Eastern Time (US & Canada)
3714,570066859330019329,negative,0.657,Can't Tell,0.657,Delta,,djcheros,,0,@JetBlue you can do better than this. And you can do better for me and all the passengers. #flight108 jfk to pwm.,,2015-02-23 19:45:05-08:00,"Portland, Maine",Eastern Time (US & Canada)
